Island,Site Number,Site,Habitat,Lat1,Lon1,Lat2018,Lon2018,,2002,2005,2009,2012,2015,2018,Total Observations,All 3 ENSO,Only 2015
Kanton,K19,Weird Eddie,,-2.81205,-171.71745,-2.81205,-171.71745,,1,1,1,1,1,1,6,1,0
Kanton,K22,Satellite Beach,,-2.78003,-171.72517,-2.78003,-171.72517,,1,1,1,1,1,1,6,1,0
Kanton,K17,British Gas,,-2.82105,-171.7154,-2.81598,-171.71645,,1,1,,1,1,1,5,0,0
Kanton,K20,Six Sticks,,-2.80562,-171.72067,,,,1,1,1,1,1,,5,0,0
Kanton,K11,Coral Castles,Lagoon,-2.80523,-171.70646,-2.80523,-171.70647,,1,1,,1,1,1,5,0,0
Kanton,K21,Crash Landing,,-2.76065,-171.7225,,,,,,1,1,1,,3,0,0
Kanton,K24,Oasis,,-2.83497,-171.68582,-2.83497,-171.68581,,,,1,,1,1,3,0,0
Kanton,K25,Steep To,,-2.8331,-171.70852,,,,,,1,1,1,,3,0,0
Kanton,K18,President Taylor,,-2.81598,-171.71645,-2.82105,-171.7154,,,,,,1,1,2,0,0
Kanton,K15,Guano Alley,Lagoon,-2.81283,-171.70933,,,,,,,,1,,1,0,1
Kanton,K29,Glass Bowl,Lagoon,-2.81141,-171.70538,,,,,,,,1,,1,0,1
Kanton,SW.corner,Core,,,,-2.83587,-171.69987,,,,,,,1,1,0,0
Kanton,Simons,Simons,,,,-2.7704,-171.724083,,,,,,,1,1,0,0
Kanton,K28,South Beach,,-2.82762,-171.7165,,,,,,,,1,,1,0,1
Kanton,K,Outta Gas,,,,,,,,,,,1,,1,0,1
Nikumaroro,N10,SW Corner,,-4.68117,-174.54017,-4.68117,-174.54017,,1,1,1,1,1,1,6,1,0
Nikumaroro,N11,Windward Wing,,-4.6508,-174.54253,-4.6508,-174.54253,,1,1,1,1,1,1,6,1,0
Nikumaroro,N3,Amelia Lost Causeway,,-4.67461,-174.5436,-4.67426,-174.5436,,1,1,1,1,1,1,6,1,0
Nikumaroro,N4,Naia Point,,-4.65558,-174.54495,,,,1,1,,1,1,,4,0,0
Nikumaroro,N6,Norwich City,,-4.66087,-174.54745,-4.66087,-174.54745,,,,1,1,1,1,4,0,0
Nikumaroro,N5,Kandy Jar,,-4.65681,-174.5454,-4.65681,-174.5454,,,,,1,1,1,3,0,0
Nikumaroro,N8,Turtle Nest Beach,Windward,-4.6668,-174.51508,,,,,,1,1,1,,3,0,0
Nikumaroro,N9,Electra Landing,,-4.6865,-174.5217,,,,,,,1,1,,2,0,0
Nikumaroro,N14,Nikitas Lookout,Windward,-4.69979,-174.49425,,,,,,,,1,,1,0,1
Nikumaroro,N15,Hydroid Hole,,-4.6889,-174.51094,,,,,,,,1,,1,0,1
Nikumaroro,N7,Ameriki,Windward,-4.69365,-174.49012,,,,,,,,1,,1,0,1
Orona,O7,Algae Corner,,-4.51853,-172.22693,-4.51853,-172.22693,,1,1,1,1,1,1,6,1,0
Orona,O8,Dolphin Ledge,,-4.49145,-172.1822,-4.49145,-172.1822,,1,1,1,1,1,1,6,1,0
Orona,O11,Aerials,,-4.53268,-172.21588,,,,1,1,1,1,1,,5,0,0
Orona,O13,Far Side,Windward,-4.49113,-172.13735,,,,,,1,,1,,2,0,0
Orona,O17,Manta Ledge,,-4.50206,-172.20808,-4.50206,-172.20808,,,,,,1,1,2,0,0
Orona,O18,Bolbo Corner,,-4.50637,-172.21826,-4.50637,-172.21826,,,,,,1,1,2,0,0
Orona,O16,Softies,,-4.50211,-172.20821,,,,,,,,1,,1,0,1
Orona,O19,Windy City,Windward,-4.48395,-172.15254,,,,,,,,1,,1,0,1
Orona,O20,Grouper Grotto,,-4.48427,-172.16859,,,,,,,,1,,1,0,1
Orona,O3,Orona Lagoon 3,Lagoon,-4.50568,-172.17515,,,,,,1,,,,1,0,0
Orona,O1,Orona Lagoon 1,Lagoon,-4.49502,-172.1717,,,,,,,,,,0,0,0
Rawaki,R3,Clearwater,,-3.72666,-170.71316,-3.72663,-170.71465,,1,1,1,1,1,1,6,1,0
Rawaki,R1,Deepwater,,-3.72037,-170.71757,,,,1,1,1,1,1,,5,0,0
Rawaki,R2,Stillwater,,-3.721,-170.71695,-3.721,-170.71695,,,,,1,1,1,3,0,0
Rawaki,R4,Farwater,Windward,-3.71545,-170.71185,,,,,,,,,,2,0,0
Rawaki,R5,Rawaki 3D,,-3.72392,-170.71588,-3.72392,-170.71588,,,,,,1,1,2,0,0
Rawaki,R6,Washing Machine,,-3.71914,-170.70514,,,,,,,,1,,1,0,1
Rawaki,R7,Montipora Madness,,-3.72482,-170.70564,,,,,,,,1,,1,0,1
