"Island","Year","Site","Site.Num","Acropora","Astreopora","Coscinaraea","Ctenactis","Cycloceris","Cyphastrea","Echinophyllia","Echinopora","Favia","Favities","Fungia","Gardineroseris","Goniastrea","Goniopora","Halomitra","Heliopora","Herpolitha","Hydnophora","Leptastrea","Leptoria","Leptoseris","Lobophyllia","Millipora","Montastrea","Montipora","Oulophyllia","Other.Coral","Oxypora","Pachyseris","Pavona","Pectinia","Platygyra","Pocillopora","Porites","Psammocora","Sandolitha","Symphyllia","Sytlophora","Turbinaria"
"Kanton",2009,"Crash Landing","K21",0,0,0,0,0,0,0,15.2,4.91428571428571,0.114285714285714,0.228571428571429,0,0,0,0,0,0,2.51428571428571,0,0,0.114285714285714,0,0,0,8.91428571428571,0,0,0,0,0.685714285714286,0,0.914285714285714,1.6,3.54285714285714,0,0,0,0,0
"Kanton",2009,"Oasis","K24",0,0,0,0,0,0,0,4,2.97435897435897,0.41025641025641,0.717948717948718,0,0,0,0.205128205128205,0,0,3.48717948717949,0.41025641025641,0,0,0,0,0,1.02564102564103,0,0,0,0,2.05128205128205,0,1.33333333333333,1.64102564102564,2.35897435897436,0.102564102564103,0,0,0,0
"Kanton",2009,"Satellite Beach","K22",0,0,0,0,0,0,0,1.08108108108108,14.2702702702703,1.2972972972973,0.540540540540541,0.216216216216216,0,0,0,0,0,2.16216216216216,2.05405405405405,0,0.216216216216216,0.864864864864865,0,0,2.81081081081081,0,0,0,0,3.24324324324324,0,0.972972972972973,0.972972972972973,4.21621621621622,0,0.216216216216216,0,0,0
"Kanton",2009,"Six Sticks","K20",0,0,0,0,0,0,0,3.6,3.4,0.8,0.4,0,0,0,0,0,0,2.4,0.1,0,0.4,0,0,0,5.2,0,0,0,0,0.2,0,1,0.2,0.5,0.1,0,0,0,0
"Kanton",2009,"Steep To","K25",0,0,0,0,0,0,0,3.13513513513514,2.81081081081081,0,0.540540540540541,0,0,0,0.324324324324324,0,0,2.05405405405405,0.432432432432432,0,0.216216216216216,0,0,0,1.08108108108108,0,0,0,0,1.94594594594595,0,0,0,4.54054054054054,0.108108108108108,0.108108108108108,0,0,0
"Kanton",2009,"Weird Eddie","K19",0,0,0,0,0,0,0,2.8,0.3,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
"Kanton",2012,"British Gas","K17",0.1,0,0,0,0,0,0,6.3,0.05,0,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0.15,0,0,0,0,0,0.2,0,0,0.15,0,0,0,0,0,0
"Kanton",2012,"Coral Castles","K11",39.85,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0
"Kanton",2012,"Crash Landing","K21",0,0.1,0,0,0,0,0,2.85,1.6,1.85,0.35,0,0,0,0,0,0,0,1.3,0,0.05,0,0,0.05,23.75,0,0,0,0,8.25,0,0,5.4,2.5,0.2,0,0,0,0
"Kanton",2012,"Satellite Beach","K22",0,0.0571428571428571,0.0285714285714286,0,0,0,0,15.6857142857143,7.65714285714286,0.342857142857143,1.48571428571429,0,0,0,0,0,0.0857142857142857,4.28571428571429,0.2,0,0.228571428571429,0.314285714285714,0,0.0857142857142857,4,0,0,0,0,2.05714285714286,0,0.314285714285714,0.771428571428571,1.85714285714286,0.0857142857142857,0,0,0,0
