Time,K22,K17,K24,N11,N5,N3,O8,O17,O18,R2
11/8/1981,0,0,0,0,0,0,0,0,0,0
11/15/1981,0,0,0,0,0,0,0,0,0,0
11/22/1981,0,0,0,0,0,0,0,0,0,0
11/29/1981,0,0,0,0,0,0,0,0,0,0
12/6/1981,0,0,0,0,0,0,0,0,0,0
12/13/1981,0,0,0,0,0,0,0,0,0,0
12/20/1981,0,0,0,0,0,0,0,0,0,0
12/27/1981,0,0,0,0,0,0,0,0,0,0
1/3/1982,0,0,0,0,0,0,0,0,0,0
1/10/1982,0,0,0,0,0,0,0,0,0,0
1/17/1982,0,0,0,0,0,0,0,0,0,0
1/24/1982,0,0,0,0,0,0,0.22675705,0.067085266,0.504999161,0
1/31/1982,0,0,0,0,0,0,0.22675705,0.067085266,0.504999161,0
2/7/1982,0,0,0,0,0,0,0.22675705,0.067085266,0.504999161,0
2/14/1982,0,0,0,0,0,0,0.22675705,0.067085266,0.504999161,0
2/21/1982,0,0,0,0,0,0,0.22675705,0.067085266,0.504999161,0
2/28/1982,0,0,0,0,0,0,0.22675705,0.067085266,0.504999161,0
3/7/1982,0,0,0,0,0,0,0.22675705,0.084169388,0.504999161,0
3/14/1982,0,0,0,0,0,0,0.418514252,0.201253891,0.579998016,0.409999847
3/21/1982,0,0,0,0,0,0,0.418514252,0.201253891,0.579998016,0.409999847
3/28/1982,0,0,0,0,0,0,0.835271835,0.568338394,1.099996567,0.409999847
4/4/1982,0,0,0,0,0,0,0.835271835,0.568338394,1.099996567,0.819999695
4/11/1982,0.745290756,0,0,0.82468605,0.62588501,0.845001221,0.608514786,1.303337097,1.564996719,0.819999695
4/18/1982,1.120582581,0,0,0.82468605,0.62588501,0.845001221,0.945272446,1.303337097,2.014995575,1.350000381
4/25/1982,1.120582581,0,0,0.989372253,0.98677063,1.10500145,1.532030106,2.050420761,2.624994278,1.645000458
5/2/1982,1.865873337,0,0,0.989372253,2.267656326,1.545001984,1.532030106,2.050420761,2.624994278,2.095001221
5/9/1982,2.011163712,1.096755981,0.113513947,0.989372253,2.267656326,1.545001984,1.532030106,2.050420761,2.624994278,2.095001221
5/16/1982,2.906454086,2.188510895,0.113513947,1.454057693,3.188541412,2.035001755,1.671001434,2.547504425,3.664993286,2.095001221
5/23/1982,3.521745682,2.781932831,0.947027206,2.452075958,4.004426956,2.035001755,2.092758179,3.101255417,4.309991837,2.285001755
5/30/1982,3.521745682,2.781932831,0.947027206,2.452075958,4.004426956,2.035001755,2.092758179,3.084171295,4.309991837,2.285001755
6/6/1982,3.880371094,3.335355759,1.088041306,3.181760788,4.868644714,3.220001221,2.70775795,3.994171143,5.24499321,2.395002365
6/13/1982,4.595663071,3.727111816,1.611555099,4.406446457,5.739528656,3.430002213,2.70775795,3.994171143,5.24499321,2.396570206
6/20/1982,4.595663071,4.180305481,2.052177429,4.583202362,6.070413589,3.570569992,2.291000366,3.627086639,4.724994659,2.828138351
6/27/1982,4.820953369,4.227060318,2.052177429,4.583202362,6.070413589,3.570569992,2.291000366,3.627086639,4.724994659,2.418138504
7/4/1982,4.563119888,4.710252762,2.525690079,3.758516312,5.44452858,2.725568771,2.952756882,3.48708725,4.804994583,2.829706192
7/11/1982,4.187828064,4.710252762,2.619203568,3.758516312,5.44452858,2.725568771,2.615999222,3.48708725,4.354995728,2.299705505
7/18/1982,4.383119583,4.947008133,2.619203568,3.593830109,5.08364296,2.465568542,2.029241562,2.740003586,3.744997025,2.004705429
7/25/1982,3.637828827,5.593763351,3.29271698,3.593830109,3.802757263,2.025568008,2.075998306,2.740003586,3.744997025,1.554704666
8/1/1982,3.83782959,5.278762817,4.172716141,3.593830109,3.802757263,2.025568008,2.075998306,2.740003586,3.744997025,1.554704666
8/8/1982,2.942539215,4.187007904,4.172716141,3.129144669,2.881872177,1.535568237,1.937026978,2.242919922,2.704998016,1.554704666
8/15/1982,2.704708099,3.966781616,3.699827194,2.645811081,2.956871033,2.365568161,1.515270233,1.68916893,2.059999466,2.904705048
8/22/1982,2.73216629,5.048536301,4.923339844,2.652568817,2.963628769,2.365568161,2.107027054,2.406253815,2.484998703,2.936275482
8/29/1982,2.738832474,5.29186821,4.782325745,1.922883987,2.099411011,1.180568695,1.300270081,1.379169464,1.474998474,2.416275024
9/5/1982,2.505498886,5.886867523,5.447324753,0.698198318,1.35941124,0.970567703,1.300270081,1.566253662,1.474998474,3.504707336
9/12/1982,2.505498886,5.433673859,5.006702423,0.956127167,1.249410629,1.229999542,2.077028275,1.566253662,1.474998474,4.843139648
9/19/1982,3.69549942,6.78367424,6.590215683,1.362882614,1.656166077,1.600566864,3.403785706,2.953338623,2.67499733,5.634708405
9/26/1982,3.585502625,6.673677444,6.477327347,1.809638977,2.3770504,2.011135101,3.628786087,3.10833931,2.474998474,5.704711914
10/3/1982,3.722961426,6.806871414,6.504436493,1.809638977,2.3770504,2.041135788,3.628786087,3.10833931,2.474998474,5.926280975
10/10/1982,3.885129929,6.923311234,6.845060349,2.374322891,2.583805084,2.041135788,3.837757111,3.304941177,2.671199799,6.656282425
10/17/1982,5.650421143,8.143312454,8.045061111,3.254009247,3.789690018,2.821136475,5.467758179,3.93154335,4.341199875,8.486282349
10/24/1982,5.732589722,7.784751892,7.462171555,3.690767288,4.226448059,3.22170639,6.504514694,4.418146133,4.827402115,9.037853241
10/31/1982,6.010047913,8.057945251,7.722793579,3.957523346,4.493204117,3.452274323,6.80348587,4.704748154,5.113603592,9.409423828
11/7/1982,5.660045624,7.707942963,9.065683365,3.689594269,3.849075317,2.832841873,7.062456131,4.951349258,5.359804153,8.040992737
11/14/1982,5.78004837,6.769384384,7.972795486,5.017522812,5.163202286,4.022842407,6.499670029,4.250865936,4.951005936,8.230991364
11/21/1982,5.532215118,6.085823059,8.073417664,5.017522812,5.163202286,4.022842407,6.499670029,4.250865936,4.951005936,8.392559052
11/28/1982,5.21771431,5.099067688,7.035526276,5.737207413,5.358201981,4.777843475,6.499670029,4.063781738,4.951005936,7.474128723
12/5/1982,5.21771431,5.099067688,7.035526276,5.302522659,5.137317657,4.377843857,6.029668808,4.063781738,5.241004944,5.815696716
12/12/1982,3.802423477,3.702312469,5.452013016,4.895767212,4.73056221,4.007276535,4.702911377,2.676696777,4.041006088,5.075698853
12/19/1982,3.424962997,3.329116821,5.091388702,4.449010849,4.009677887,3.596708298,3.81615448,1.859611511,3.191005707,4.594127655
