Time,K22,K17,K24,N11,N5,N3,O8,O17,O18,R2
11/8/1981,0,0,0,0,0,0,0,0,0,0
11/15/1981,0,0,0,0,0,0,0,0,0,0
11/22/1981,0,0,0,0,0,0,0,0,0,0
11/29/1981,0,0,0,0,0,0,0,0,0,0
12/6/1981,0,0,0,0,0,0,0,0,0,0
12/13/1981,0,0,0,0,0,0,0,0,0,0
12/20/1981,0,0,0,0,0,0,0,0,0,0
12/27/1981,0,0,0,0,0,0,0,0,0,0
1/3/1982,0,0,0,0,0,0,0,0,0,0
1/10/1982,0,0,0,0,0,0,0,0,0,0
1/17/1982,0,0,0,0,0,0,0,0,0,0
1/24/1982,0,0,0,0,0,0,0,0,0,0
1/31/1982,0,0,0,0,0,0,0,0,0,0
2/7/1982,0,0,0,0,0,0,0,0,0,0
2/14/1982,0,0,0,0,0,0,0,0,0,0
2/21/1982,0,0,0,0,0,0,0,0,0,0
2/28/1982,0,0,0,0,0,0,0,0,0,0
3/7/1982,0,0,0,0,0,0,0,0,0,0
3/14/1982,0,0,0,0,0,0,0,0,0,0
3/21/1982,0,0,0,0,0,0,0,0,0,0
3/28/1982,0,0,0,0,0,0,0,0,0,0
4/4/1982,0,0,0,0,0,0,0,0,0,0
4/11/1982,1.344740748,0,0,1.314984202,1.114410162,1.368247271,0,1.257763267,1.422432303,0
4/18/1982,1.344740748,0,0,1.314984202,1.114410162,1.368247271,0,1.257763267,1.422432303,0
4/25/1982,1.344740748,0,0,1.314984202,1.114410162,1.368247271,0,2.460526228,2.484863997,0
5/2/1982,2.689481497,0,0,1.314984202,2.883821011,1.368247271,0,2.460526228,2.484863997,0
5/9/1982,2.689481497,1.664183617,0,1.314984202,2.883821011,1.368247271,0,2.460526228,2.484863997,0
5/16/1982,4.184221745,3.323366165,0,1.314984202,4.29323101,2.381493092,0,2.460526228,3.977295876,0
5/23/1982,5.398963451,4.484215736,1.415619016,2.803300619,5.597641945,2.381493092,0,3.469956398,5.074727535,0
5/30/1982,5.398963451,4.484215736,1.415619016,2.803300619,5.597641945,2.381493092,0,3.469956398,5.074727535,0
6/6/1982,5.398963451,5.605066299,1.415619016,4.023283482,6.950385094,4.089738846,1.202481151,4.952720165,6.537160873,0
6/13/1982,6.71370554,5.605066299,2.521238565,5.738267422,8.309794426,4.089738846,1.202481151,4.952720165,6.537160873,0
6/20/1982,6.71370554,6.625687599,3.54396677,5.738267422,8.309794426,4.089738846,1.202481151,4.952720165,6.537160873,0
6/27/1982,6.71370554,6.625687599,3.54396677,5.738267422,8.309794426,4.089738846,1.202481151,4.952720165,6.537160873,0
7/4/1982,6.455872059,7.676307678,4.599585056,4.4232831,7.195384026,2.721491337,2.259961843,4.812720776,6.617160797,0
7/11/1982,6.455872059,7.676307678,4.599585056,4.4232831,7.195384026,2.721491337,2.259961843,4.812720776,6.617160797,0
7/18/1982,6.455872059,7.676307678,4.599585056,4.4232831,7.195384026,2.721491337,2.259961843,3.609957695,5.554728985,0
7/25/1982,5.111131191,8.890490532,5.855204105,4.4232831,5.425972939,2.721491337,2.259961843,3.609957695,5.554728985,0
8/1/1982,5.111131191,8.575489998,7.430822849,4.4232831,5.425972939,2.721491337,2.259961843,3.609957695,5.554728985,0
8/8/1982,3.616390705,6.916307449,7.430822849,4.4232831,4.016562462,1.708245516,2.259961843,3.609957695,4.062296867,0
8/15/1982,2.401649237,5.755457878,6.015203953,3.939949512,4.091561317,3.061491489,2.259961843,2.600527525,2.964865446,1.806966782
8/22/1982,2.401649237,7.404640198,7.820822239,3.939949512,4.091561317,3.061491489,2.259961843,3.773291588,2.964865446,1.806966782
8/29/1982,2.401649237,7.647972107,7.820822239,2.71996665,2.738818645,1.353245974,1.057480693,2.290528059,1.502432227,1.806966782
9/5/1982,2.168315649,9.202155113,8.485821724,1.004982829,1.379409552,1.353245974,1.057480693,2.290528059,1.502432227,3.1639328
9/12/1982,2.168315649,8.181533813,7.463093281,1.004982829,1.379409552,1.353245974,2.229963064,2.290528059,1.502432227,5.200899124
9/19/1982,4.183056831,10.14571667,9.628712654,1.004982829,1.379409552,1.353245974,3.952444553,4.133292198,3.154864073,6.259433746
9/26/1982,3.096149445,9.095096588,8.573094368,1.004982829,2.588819027,1.353245974,4.177444935,4.288292885,2.954865217,6.259433746
10/3/1982,3.096149445,9.095096588,8.573094368,1.004982829,2.588819027,1.353245974,4.177444935,4.288292885,2.954865217,6.259433746
10/10/1982,3.096149445,9.095096588,8.573094368,2.059964895,2.588819027,1.353245974,4.177444935,4.288292885,2.954865217,6.259433746
10/17/1982,5.46089077,10.31509781,9.773095131,3.429949284,4.283228874,2.65649271,6.249927044,5.370574474,5.077298164,8.356399536
10/24/1982,6.487800598,8.965914726,8.197476387,3.429949284,4.283228874,2.65649271,7.682407856,5.370574474,5.077298164,8.356399536
10/31/1982,6.487800598,8.965914726,8.197476387,3.429949284,4.283228874,2.65649271,7.682407856,5.370574474,5.077298164,8.356399536
11/7/1982,6.487800598,8.965914726,10.48309612,2.424966574,2.903819561,1.303246737,7.682407856,5.370574474,5.077298164,6.549432755
11/14/1982,6.487800598,7.316732407,8.677477837,4.249950886,4.713229179,3.01649332,7.682407856,4.197810173,5.077298164,6.549432755
11/21/1982,6.487800598,5.952549934,8.677477837,4.249950886,4.713229179,3.01649332,7.682407856,4.197810173,5.077298164,6.549432755
11/28/1982,5.406392097,4.398366928,6.906859398,5.459933758,4.713229179,4.294740677,7.682407856,4.197810173,5.077298164,5.192466736
12/5/1982,5.406392097,4.398366928,6.906859398,5.459933758,4.713229179,4.294740677,6.509925842,4.197810173,5.077298164,3.155500412
12/12/1982,3.391651154,2.434184074,4.741240025,5.459933758,4.713229179,4.294740677,4.787444115,2.355046034,3.424866676,2.09696579
12/19/1982,3.391651154,2.434184074,4.741240025,5.459933758,3.503819942,4.294740677,3.504962921,1.08228147,2.122433186,2.09696579
12/26/1982,4.521391869,2.434184074,4.741240025,6.644917011,4.703228951,4.294740677,3.504962921,1.08228147,2.122433186,2.09696579
1/2/1983,4.521391869,2.434184074,4.741240025,5.589934826,4.703228951,4.294740677,3.504962921,1.08228147,2.122433186,2.09696579
1/9/1983,3.231390476,0,2.285619974,4.219950199,3.008819103,2.991493702,1.432480693,0,0,0
1/16/1983,2.204480886,0,2.285619974,4.219950199,3.008819103,2.991493702,0,0,0,0
