"Island","Event","Clouds.1mo","Clouds.2wk","Clouds.event","Clouds.1mo.sd","Clouds.2wk.sd","Clouds.event.sd"
"Kanton","ENSO1",1.53230788497324,1.62930369823849,0.34630491543041,1.39906300324873,1.51802781404905,1.22217362100408
"Kanton","ENSO2",1.56704254834802,1.28596059264176,0.509915735547164,1.36625497703142,1.11166886000008,1.38379337285178
"Kanton","ENSO3",2.02763291594898,2.26328803406956,0.758551277274404,1.55954818908308,1.72699326660182,1.32714984361648
"Nikumaroro","ENSO1",1.40153527618957,1.36107720883058,0.353568270711383,1.07518463838234,1.02341124901148,1.1606535851823
"Nikumaroro","ENSO2",1.30636406560913,0.833838275791359,0.276475860929452,1.3389034083586,1.14782071065367,1.21954149406797
"Nikumaroro","ENSO3",1.49415248803005,1.70726792567234,0.465798053446001,1.18518251765511,1.32533821834059,1.12613455191088
"Orona","ENSO1",1.17734925633163,1.12282463349032,0.405289658190571,1.05753556453074,1.16482860906366,1.16411658114689
"Orona","ENSO2",1.59650583956313,2.13630476808643,0.339000414153454,1.43124649890521,1.48451487785624,1.27579717512213
"Orona","ENSO3",1.66652175439327,1.66277675994908,0.501707209480907,1.29041788867684,1.42598137934626,1.19436773354688
"Rawaki","ENSO1",1.41091995682946,1.60202272370927,0.300658348972405,1.37746659206212,1.3368176855089,1.2335490660342
"Rawaki","ENSO2",2.07624893720025,2.18522123370467,0.500762474471268,1.5662097284115,1.65952862576341,1.46259918132272
"Rawaki","ENSO3",2.23281386549703,2.83759537436306,0.644470226767683,1.40883808486579,1.1251077628842,1.38008597302174
