Month,Day,Year,N,dhwP,sd.dhwP,Date,TH
1,2,2002,10,0.13428936,0.239818463,1/2/02 19:00,0
1,9,2002,10,0.169122696,0.232419329,1/9/02 19:00,0
1,16,2002,10,0.584301376,0.488030872,1/16/02 19:00,0
1,23,2002,10,0.672685623,0.637910702,1/23/02 19:00,0
1,30,2002,10,0.678774071,0.634141171,1/30/02 19:00,0
2,6,2002,10,0.678774071,0.634141171,2/6/02 19:00,0
2,13,2002,10,0.678774071,0.634141171,2/13/02 19:00,0
2,20,2002,10,0.678774071,0.634141171,2/20/02 19:00,0
2,27,2002,10,0.678774071,0.634141171,2/27/02 19:00,0
3,6,2002,10,0.678774071,0.634141171,3/6/02 19:00,0
3,13,2002,10,0.710331154,0.614124416,3/13/02 19:00,0
3,20,2002,10,0.710331154,0.614124416,3/20/02 19:00,0
3,27,2002,10,0.710331154,0.614124416,3/27/02 19:00,0
4,3,2002,10,0.650303459,0.653728942,4/3/02 19:00,0
4,10,2002,10,0.135892296,0.157892979,4/10/02 20:00,0
,4
,17,2002,10,0.047508049,0.069610514,4/17/02 20:00,0
4,24,2002,10,0.045095253,0.062233885,4/24/02 20:00,0
5,1,2002,10,0.045095253,0.062233885,5/1/02 20:00,0
5,8,2002,10,0.045095253,0.062233885,5/8/02 20:00,0
5,15,2002,10,0.423656654,0.535372026,5/15/02 20:00,0
5,22,2002,10,0.487191963,0.495976037,5/22/02 20:00,0
5,29,2002,10,0.546129036,0.478354025,5/29/02 20:00,0
6,5,2002,10,0.607127762,0.426629893,6/5/02 20:00,0
6,12,2002,10,0.75884037,0.434824649,6/12/02 20:00,0
6,19,2002,10,0.784648514,0.457072347,6/19/02 20:00,0
6,26,2002,10,0.78925457,0.440572049,6/26/02 20:00,0
7,3,2002,10,0.868967438,0.492820798,7/3/02 20:00,0
7,10,2002,10,0.928365898,0.5230736,7/10/02 20:00,0
7,17,2002,10,1.175913048,0.797524823,7/17/02 20:00,0
7,24,2002,10,1.395679855,1.047722198,7/24/02 20:00,0
7,31,2002,10,1.492744827,1.207241183,7/31/02 20:00,0
8,7,2002,10,1.218467522,1.590295595,8/7/02 20:00,0
8,14,2002,10,1.259959221,1.667315258,8/14/02 20:00,0
8,21,2002,10,1.390226746,1.880045892,8/21/02 20:00,0
8,28,2002,10,1.700559616,2.063990422,8/28/02 20:00,0
9,4,2002,10,1.938275909,2.064492557,9/4/02 20:00,0
9,11,2002,10,2.225413323,2.377499103,9/11/02 20:00,0
9,18,2002,10,2.697946358,2.749068762,9/18/02 20:00,0
9,25,2002,10,3.099778938,2.762554765,9/25/02 20:00,0
10,2,2002,10,3.468250656,2.8945009,10/2/02 20:00,0
10,9,2002,10,3.713311005,2.826518885,10/9/02 20:00,0
10,16,2002,10,4.14565525,2.757319173,10/16/02 20:00,0
10,23,2002,10,4.774040985,2.846447833,10/23/02 20:00,0
10,30,2002,10,5.203810501,2.808647857,10/30/02 19:00,0
11,6,2002,10,6.350853157,3.037248717,11/6/02 19:00,0
11,13,2002,10,7.268875122,2.900159855,11/13/02 19:00,0
11,20,2002,10,7.528712464,2.730479741,11/20/02 19:00,0
11,27,2002,10,7.907360459,2.739262287,11/27/02 19:00,0
12,4,2002,10,8.523128509,2.542948167,12/4/02 19:00,0
12,11,2002,10,8.634997368,2.405905357,12/11/02 19:00,0
12,18,2002,10,8.52532196,2.564765553,12/18/02 19:00,0
12,25,2002,10,9.122773552,1.949631946,12/25/02 19:00,20.19778318
1,1,2003,10,9.056860733,1.653792537,1/1/03 19:00,0
1,8,2003,10,8.776620484,1.674581886,1/8/03 19:00,0
1,15,2003,10,8.415561676,1.673249724,1/15/03 19:00,0
1,22,2003,10,8.399310112,1.957706073,1/22/03 19:00,0
1,29,2003,10,7.574954605,1.666870157,1/29/03 19:00,0
2,5,2003,10,6.587189865,1.91091581,2/5/03 19:00,0
2,12,2003,10,5.97559166,1.824861015,2/12/03 19:00,0
2,19,2003,10,5.648455048,2.206571061,2/19/03 19:00,0
2,26,2003,10,5.394311905,1.515247793,2/26/03 19:00,0
3,5,2003,10,4.975300408,1.422362901,3/5/03 19:00,0
3,12,2003,10,4.625814438,1.204040948,3/12/03 19:00,0
3,19,2003,10,3.739385414,1.289370604,3/19/03 19:00,0
3,26,2003,10,3.499600601,1.496705858,3/26/03 19:00,0
4,2,2003,10,3.37992096,1.09545819,4/2/03 19:00,0
4,9,2003,10,3.026833725,0.811834805,4/9/03 20:00,0
4,16,2003,10,3.287028885,0.536054201,4/16/03 20:00,0
4,23,2003,10,2.879903221,0.650730555,4/23/03 20:00,0
4,30,2003,10,2.824325562,0.761283082,4/30/03 20:00,0
5,7,2003,10,2.795924187,0.831577692,5/7/03 20:00,0
5,14,2003,10,2.354983902,1.197538303,5/14/03 20:00,0
5,21,2003,10,1.696882057,0.891937582,5/21/03 20:00,0
5,28,2003,10,1.607579994,1.043578404,5/28/03 20:00,0
6,4,2003,10,1.739580154,1.182929183,6/4/03 20:00,0
6,11,2003,10,1.6387146,1.061337573,6/11/03 20:00,0
6,18,2003,10,1.448129082,1.098271307,6/18/03 20:00,0
6,25,2003,10,1.565415764,0.668509641,6/25/03 20:00,0
7,2,2003,10,1.639199638,0.704154939,7/2/03 20:00,0
7,9,2003,10,0.864731598,0.441438748,7/9/03 20:00,0
7,16,2003,10,0.91228714,0.41479691,7/16/03 20:00,0
7,23,2003,10,0.848402977,0.401416807,7/23/03 20:00,0
7,30,2003,10,0.86320343,0.453629984,7/30/03 20:00,0
8,6,2003,10,0.86320343,0.453629984,8/6/03 20:00,0
8,13,2003,10,0.84673481,0.465923412,8/13/03 20:00,0
8,20,2003,10,0.756177902,0.435996546,8/20/03 20:00,0
8,27,2003,10,0.601793671,0.542010206,8/27/03 20:00,0
9,3,2003,10,0.56376648,0.531247385,9/3/03 20:00,0
9,10,2003,10,0.56376648,0.531247385,9/10/03 20:00,0
9,17,2003,10,0.194288635,0.182312573,9/17/03 20:00,0
9,24,2003,10,0.109200096,0.179322268,9/24/03 20:00,0
10,1,2003,10,0.105670929,0.181275094,10/1/03 20:00,0
10,8,2003,10,0.037526894,0.08090131,10/8/03 20:00,0
10,15,2003,10,0.06205616,0.08509135,10/15/03 20:00,0
10,22,2003,10,0.432359505,0.205961928,10/22/03 20:00,0
10,29,2003,10,0.682423592,0.329321148,10/29/03 19:00,0
11,5,2003,10,0.751423645,0.41447732,11/5/03 19:00,0
11,12,2003,10,0.777423668,0.394521148,11/12/03 19:00,0
11,19,2003,10,1.011109734,0.464311517,11/19/03 19:00,0
11,26,2003,10,1.031211281,0.476200739,11/26/03 19:00,0
12,3,2003,10,1.031211281,0.476200739,12/3/03 19:00,0
12,10,2003,10,1.144991112,0.477241239,12/10/03 19:00,0
12,17,2003,10,1.144991112,0.477241239,12/17/03 19:00,1.283440717
12,24,2003,10,1.221459579,0.427927555,12/24/03 19:00,0
12,31,2003,10,1.221459579,0.427927555,12/31/03 19:00,0
1,7,2004,10,1.196930313,0.384240574,1/7/04 19:00,0
1,14,2004,10,0.789100075,0.38786814,1/14/04 19:00,0
1,21,2004,10,0.539035988,0.473376173,1/21/04 19:00,0
1,28,2004,10,0.484036064,0.381631948,1/28/04 19:00,0
2,4,2004,10,0.480387306,0.362095273,2/4/04 19:00,0
2,11,2004,10,0.246701241,0.292464244,2/11/04 19:00,0
2,18,2004,10,0.27630806,0.257022194,2/18/04 19:00,0
2,25,2004,10,0.27630806,0.257022194,2/25/04 19:00,0
3,3,2004,10,0.162528229,0.222246613,3/3/04 19:00,0
3,10,2004,10,0.162528229,0.222246613,3/10/04 19:00,0
3,17,2004,10,0.091768265,0.1422688,3/17/04 19:00,0
3,24,2004,10,0.091768265,0.1422688,3/24/04 19:00,0
3,31,2004,10,0.091768265,0.1422688,3/31/04 19:00,0
4,7,2004,10,0.117119598,0.170730209,4/7/04 20:00,0
4,14,2004,10,0.117119598,0.170730209,4/14/04 20:00,0
4,21,2004,10,0.153119469,0.226139839,4/21/04 20:00,0
4,28,2004,10,0.130768204,0.210990545,4/28/04 20:00,0
5,5,2004,10,0.158444023,0.213222162,5/5/04 20:00,0
5,12,2004,10,0.108735657,0.183067447,5/12/04 20:00,0
5,19,2004,10,0.205528069,0.177275803,5/19/04 20:00,0
5,26,2004,10,0.210590363,0.181331306,5/26/04 20:00,0
6,2,2004,10,0.210590363,0.181331306,6/2/04 20:00,0
6,9,2004,10,0.22890892,0.222012304,6/9/04 20:00,0
6,16,2004,10,0.239997482,0.217916385,6/16/04 20:00,0
6,23,2004,10,0.335554314,0.282105477,6/23/04 20:00,0
6,30,2004,10,0.372291565,0.307620314,6/30/04 20:00,0
7,7,2004,10,0.464381599,0.29456408,7/7/04 20:00,0
7,14,2004,10,0.463006973,0.401757665,7/14/04 20:00,0
7,21,2004,10,0.503211594,0.373913272,7/21/04 20:00,0
7,28,2004,10,0.475535774,0.396563904,7/28/04 20:00,0
8,4,2004,10,0.479244232,0.399878342,8/4/04 20:00,0
8,11,2004,10,0.387951851,0.360580735,8/11/04 20:00,0
